x = 0, y = 0.0
x = 5, y = 2.728447823387975e-05
x = 10, y = 0.000109137912935519
x = 15, y = 0.0002455603041049178
x = 20, y = 0.000436551651742076
x = 25, y = 0.0
x = 30, y = 0.0
x = 35, y = 0.004034703860322929
x = 40, y = 0.006438481886914102
x = 45, y = 0.009723381075671873
x = 50, y = 0.014059456221719778
x = 55, y = 0.019626502856200583
x = 60, y = 0.027509636992164625
x = 65, y = 0.036607682490806134
x = 70, y = 0.04772797787937004
x = 75, y = 0.061139602176892974
x = 80, y = 0.07712850561356693
x = 85, y = 0.09599779695154369
x = 90, y = 0.11806801150649247
x = 95, y = 0.14367735698453088
